Video Title,Like Count,View Count,Comment Count,Subscriber Count,video_id,mean_sentiment
Dry Ice Swimming Pool!,95183,4966843,1454,28000000,4ljqaRtXeQM,0.4660215
"2,805 DEGREE LAVA VS Watermelon!",35527,2166564,1095,28000000,Juiwz8LosT4,0.39536023
WORLD'S MOST SATISFYING KINETIC SAND!,25916,1877527,1979,28000000,eWKSrbWo6uw,0.4175396
Dropping an iPhone 11 Pro Down a Hole,98723,4948978,1662,28000000,KfS8hfUAP8A,0.43284166
Sledge Hammer vs Shredder!,117526,5948911,2316,28000000,qjhK4o_-dFc,0.46430138
GIGANTIC DIY FIREWORK,34212,1936608,798,28000000,Zfyk3rHRIwY,0.4235305
INCREDIBLE LAVA EXPERIMENTS,29515,2459754,1235,28000000,MEnan5ZNOmk,0.37307245
REAL LAVA vs WATERMELON - EXPERIMENT,61250,2213103,1407,28000000,FrHlCifAsC4,0.42116928
Coke vs Pepsi!,1197993,27842006,3846,28000000,PDIO2dkng5Y,0.4134891
TESTING GIANT FIRECRACKERS!,71793,3165005,1652,28000000,BfS1smjkGvA,0.46203268
"1,000 Degree Ball VS iPhone 11",101602,3305295,1913,28000000,hI8Ep9Eze0I,0.42337283
15 AWESOME BALLOON TRICKS!,142040,1838255,3396,28000000,bIHpdsAl_3E,0.45568582
MAKING POPCORN WITH A MOTORCYCLE EXHAUST,47153,2343139,1235,28000000,7mUW659Qr78,0.37530833
Hydraulic Press vs Bowling Ball!,44873,2341421,1255,28000000,usJb2-oAV1M,0.4326502
WHAT CAN YOU CUT WITH PAPER?,87240,8149727,4799,28000000,G4ZmDfLLzN4,0.42705843
Super Satisfying Kinetic Sand DIY,48342,3676034,4069,28000000,67MptG3oS-A,0.4224971
GIANT BLENDER VS MENTOS! - EXPERIMENT,54590,4126768,2838,28000000,NzqONki5ojA,0.47729108
1000 DEGREE METAL BALL VS ICE - EXPERIMENT,201493,13327119,7089,28000000,UMivhfKRslQ,0.46726128
3 Amazing DIY Magic Illusions!,12073,743258,618,28000000,UdQ1zILODec,0.3978654
POURING COCA COLA IN A MOTORCYCLE EXHAUST,58081,3681254,1537,28000000,1zn92UVxMwY,0.40306982
Amazing science experiments,37045,4230053,2988,28000000,F6P2Lay4Zfs,0.45856625
Incredible Fire Proof Lock!,27547,1507058,601,28000000,5uhgbFn75as,0.38137323
SAMSUNG GALAXY S10 vs INDUSTRIAL SHREDDER,36960,2213137,877,28000000,LLT2nC2lVfM,0.3834598
LAVA vs MACBOOK PRO!,206665,11517856,5642,28000000,uaHWNftRRCo,0.451686
COOL CUSTOM FIRE CROSSBOW EXPERIMENT,46729,4683415,2926,28000000,fY123wWYbo0,0.468483
LIQUID NITROGREN vs PEPSI SMASHED,62933,5216837,8920,28000000,9KgAZsTU2U4,0.43598303
DIY MINI HELICOPTER!,23654,1802639,1276,28000000,yzeM85G-0Fg,0.43723977
Crushing Super Satisfying Things By Car - DIY Crafts,14605,1020052,1515,28000000,RW5Jb46YUKQ,0.4063928
AXE vs LITHIUM BATTERY,33780,3460499,2771,28000000,nPJgBkWhZnM,0.41658273
MENTOS VS COCA COLA WATERMELON,32541,2560515,2482,28000000,iM6aQr_sJAg,0.43285766
Lava vs Iphone XS!,44968,2089717,1541,28000000,KfhSDcy-9RA,0.42802092
SUPER CHARGED ROCKET HOT WHEELS!!,35128,3508166,3987,28000000,Jobv3ts7UHU,0.53483474
"WATERMELON VS 2,000 RUBBER BANDS",99771,2101866,2362,28000000,DASj398vGMM,0.4377958
Microwaving Things For 10 Hours Straight,59670,4787952,5422,28000000,us2fkdDTZss,0.43633628
Hydro Dipping a PS4 Controller!,123911,6345909,6754,28000000,c8OKK-UinZg,0.44484755
