Video Title,Like Count,View Count,Comment Count,Subscriber Count
"WATERMELON VS 2,000 RUBBER BANDS",99771,2101866,2362,28000000
Microwaving Things For 10 Hours Straight,59670,4787952,5422,28000000
Hydro Dipping a PS4 Controller!,123911,6345909,6754,28000000
INSANE GIANT MATCH BOTTLE FIRE!,43644,4667077,2299,28000000
10K ORBEEZ BALLOON VOLCANO!,38905,3756271,3902,28000000
"1,000 Degree Ball VS Frozen Water",15496,926496,863,28000000
Super unexpected DIY life hacks,25865,1465828,2907,28000000
"Will 20,000 Gumballs flush?",23687,1704526,1429,28000000
Industrial Shredder VS Watermelon!,26381,2515645,767,28000000
Magma Vs Liquid Nitrogen!,13700,867918,505,28000000
AWESOME FIRE EXPERIMENTS,19501,1498189,1328,28000000
Amazing science experiments with magnets,22852,1563333,1048,28000000
iPhone 11 Vs FIREWORKS!,16553,1122909,680,28000000
Amazing Magnet Experiments,13824,1101556,1163,28000000
"INSANE 500,000 MATCHES CANNON!",33021,1692631,1365,28000000
SUPER POWERFUL FIREWORK VS LOCK,10335,754024,804,28000000
15 Amazing Crafts That You Must See,17526,1922692,3105,28000000
"Will 20,000 GUMBALLS BLEND?",24372,1382927,1102,28000000
AMAZING DIY DC MOTOR AIRPLANE!,20384,1803723,2022,28000000
WORLD'S LARGEST FIRECRACKER!,20839,1210603,569,28000000
GAS TORCH vs GUMMY BEAR,10297,797422,1060,28000000
MICROWAVING ALUMINIUM FOIL,11751,583729,1130,28000000
Giant Mentos Crafts & Experiments,38416,3571499,2885,28000000
10 Gallons of Liquid Nitrogen vs Watermelon,21717,1326911,1286,28000000
INSANE IPHONE 11 PRO DROP TEST,41775,1743058,767,28000000
Awesome Fire Slingshot Experiments and Crafts,15713,1294742,3405,28000000
5 CRAZY WAYS TO OPEN A LOCK,15832,1034580,1249,28000000
COCA COLA VS DRILL POWERED CHAINSAW,12568,1073003,1138,28000000
"PEPSI VS 3,000 DEGREE GAS TORCH",25998,1401199,3376,28000000
I Put a Tooth In Coca Cola For 24 Hours,16534,868839,985,28000000
GAS TORCH VS PADLOCK,41604,3667770,4266,28000000
FIREWORK VS WATERMELON EXPERIMENT,12752,683007,915,28000000
1000 DEGREE WEIGHT VS POOL,204603,6433819,4148,28000000
Amazing Fire Crafts and Awesome Experiments,24387,3074530,2094,28000000
Do you think Aaron Rodgers threw Tydus’ ball away on purpose? #shorts,256617,9620435,5798,6390000
HIGHLIGHTS! Southampton 1-4 Man City | HAALAND DOUBLE AND RECORD-BREAKING DE BRUYNE INSPIRE WIN,86644,5462769,2436,6500000
Highlights! Man City 4-1 Liverpool | Alvarez starts the comeback in brilliant win,58523,3311421,1718,6500000
I'M FASTER THAN RAHEEM! | FIFA PLAYER RATINGS | WALKER & STONES,110355,4261399,988,6500000
"Highlights! Bournemouth 1-4 Man City | Goals from Alvarez, Haaland & Foden on a day of milestones",28485,1393141,662,6500000
Funny! | Troy Hawke GREETS Man City players onto their US Tour! | Greeters Guild,17660,989689,829,6500000
Man City 6-0 Burnley | FA Cup | HIGHLIGHTS | HAALAND HAT-TRICK,51256,3787480,1450,6500000
HIGHLIGHTS | Wolves 1-5 Man City | FOUR De Bruyne Goals + Sterling,93762,4362321,2948,6500000
HIGHLIGHTS | Man City 3-2 Aston Villa | CHAMPIONS AGAIN! | Gundogan two goals & Rodri!,140045,7322542,4597,6500000
HART FART 2011 City Bloopers - The Joe Hart Fart,1385,526432,119,6500000
Ruben Dias' Morning Routine | Together: Champions Again Documentary Series is OUT NOW!,22351,1026731,526,6500000
HIGHLIGHTS | HAALAND & FODEN HAT-TRICKS IN THE DERBY | Man City 6-3 Man United | Premier League,85745,5621905,3265,6500000
Highlights! Nottingham Forest 1-1 Man City | CITY SETTLE FOR A POINT AFTER LATE FOREST COMEBACK,18441,1113139,1112,6500000
HIGHLIGHTS! West Ham 0-2 Man City | Haaland Goals on Debut | Premier League,84027,4767369,2626,6500000
Kevin De Bruyne RANKS Man City Champions League goals! | KDB puts goals on a Tier List!,24607,878625,536,6500000
BRITISH SWEETS v AMERICAN CANDY! | Man City's Kyle Walker & Zack Steffen react to food!,14565,630340,333,6500000
HIGHLIGHTS | Man City 5-1 Watford | JESUS - FOUR GOALS & AN ASSIST & Rodri goal!,41421,2089569,1014,6500000
Jack Grealish vs 30 Kids,19015,946958,520,6500000
"HIGHLIGHTS | Man City 6-3 Leicester | De Bruyne, Mahrez, Gündogan, Sterling & Laporte goals!",49226,2848528,982,6500000
"Man City Highlights | CITY 6-1 WYCOMBE | Carabao Cup | De Bruyne, Mahrez, Foden, Torres, Palmer",44803,2354509,1289,6500000
TOGETHER: TREBLE WINNERS - COMING SOON! DOCUMENTARY TRAILER,7135,114408,438,6500000
Mahrez reacts & a new Dias rating!? 👀  Player VIP kits | FIFA22,18421,510987,251,6500000
"HIGHLIGHTS Man City 4-1 Man United | De Bruyne, Mahrez & Sancho Goals | MANCHESTER IS BLUE! 🔵",103663,6778003,4503,6500000
CARLOS BORGES HAT-TRICK | Sevilla 1-5 Man City | UEFA YOUTH LEAGUE HIGHLIGHTS,3874,308419,102,6500000
EXTENDED HIGHLIGHTS | Man City 3-2 Aston Villa | ILKAY GUNDOGAN: SUPER SUB! Premier League Champions,106560,6500700,4033,6500000
WOMEN'S FA CUP FINAL HIGHLIGHTS | Chelsea 3-2 Man City,5910,582979,176,6500000
Do you think Aaron Rodgers threw Tydus’ ball away on purpose? #shorts,256617,9620453,5798,6390000
